"hotel","location","nearest place","rating","reviews score","count of riviews","hotel type","room type"
"Santhi Bhavan, Chennai Central","Central Chennai, Chennai","6.8 km from centre","6.5","Review score","2 reviews","Economy Double Room","1 large double bed"
"Taj Coromandel","Nungambakkam, Chennai","2.5 km from centre","8.8","Fabulous","971 reviews","Luxury Room with King Bed","1 extra-large double bed"
"Hilton Chennai","South Chennai, Chennai","4.1 km from centre","8.0","Very good","822 reviews","King Room","1 extra-large double bed"
"Super Townhouse 1060 Anna salai","Central Chennai, Chennai","4 km from centre","7.5","Good","131 reviews","Deluxe Triple Room",""
"Jasmine park","T - Nagar, Chennai","400 m from centre","7.2","Good","52 reviews","Deluxe Double Room","1 double bed"
"City Home","Central Chennai, Chennai","6.8 km from centre","6.8","Review score","89 reviews","Deluxe Double or Twin Room","Beds: 1 double or 2 singles"
"Grand View Residency Chennai","Triplicane, Chennai","5.4 km from centre","7.8","Good","244 reviews","Standard Double Room","1 double bed"
"Nestlay Rooms Vanagaram","Chennai","9.4 km from centre","6.5","Review score","106 reviews","Superior Double Room","2 single beds"
"FabExpress MM Residency","Chennai","14.4 km from centre","5.8","Review score","23 reviews","Deluxe Room","1 double bed"
"Hotel cute orange","Central Chennai, Chennai","3.8 km from centre","8.0","Very good","32 reviews","Standard King Room","1 extra-large double bed"
"RedFox Hotel (SkyOne Mall)","Central Chennai, Chennai","4 km from centre","6.9","Review score","10 reviews","Superior Double Room","1 double bed"
"FabHotel Home Tree Service Apartment Kolathur","Central Chennai, Chennai","10.2 km from centre","8.5","Very good","6 reviews","Deluxe Room","1 double bed"
"Avenue Hotel","Pallavaram, Chennai","12.2 km from centre","6.2","Review score","193 reviews","Superior Double Room","1 large double bed"
"Hotel White Park","Central Chennai, Chennai","6.2 km from centre","6.1","Review score","124 reviews","Deluxe Double or Twin Room","2 single beds"
"GM Residency","Chennai","5 km from centre","5.6","Review score","352 reviews","Standard Double Room with Fan","1 double bed"
"The Mount City Near US Consulate","Triplicane, Chennai","4.9 km from centre","6.3","Review score","113 reviews","Deluxe Room","1 large double bed"
"HOTEL KEK GRAND PARK","Pallavaram, Chennai","12.3 km from centre","5.6","Review score","190 reviews","Superior King Room","1 double bed"
"Treebo Trend NGH Transit","South Chennai, Chennai","8.6 km from centre","7.7","Good","19 reviews","Standard Double Room","Multiple bed types"
"Ginger Chennai","South Chennai, Chennai","5.9 km from centre","4.9","Review score","219 reviews","Standard Double Room","1 large double bed"
